2019/04/03 14:18:38 cx_activiation.go, l:   386, [Info]     , [fn]PassStr.input:
2019/04/03 14:29:52 cx_activiation.go, l:   386, [Info]     , [fn]PassStr.input:
2019/04/03 14:40:30 cx_activiation.go, l:   387, [Info]     , [fn]PassStr.input:
2019/04/03 14:46:27 cx_activiation.go, l:   389, [Info]     , [fn]PassStr.input:H
2019/04/03 15:15:17 cx_activiation.go, l:   389, [Info]     , [fn]PassStr.input:H
2019/04/03 15:26:40 cx_activiation.go, l:   389, [Info]     , [fn]PassStr.input:H
2019/04/03 15:27:43 cx_activiation.go, l:   389, [Info]     , [fn]PassStr.input:H
2019/04/03 15:27:43 cx_activiation.go, l:   396, [Info]     , [fn]concat._res:ao
2019/04/03 15:41:45 cx_activiation.go, l:   389, [Info]     , [fn]PassStr.input:Hello World
2019/04/08 22:11:37 cx_fileop.go, l:    18, [Warning]  , [fn]ReadFileAll: err.Error()
2019/04/08 22:11:37 cx_activiation.go, l:   354, [Error]    , [fn]ValidKey fail to read file. error:open .\ActiveKey.dt: The system cannot find the file specified.
2019/04/10 22:41:14 cx_fileop.go, l:    18, [Warning]  , [fn]ReadFileAll: err.Error()
2019/04/10 22:41:14 cx_activiation.go, l:   354, [Error]    , [fn]ValidKey fail to read file. error:open .\ActiveKey.dt: The system cannot find the file specified.
